version,1.7.0
info,balls_per_over,6
info,team,Indonesia
info,team,Philippines
info,gender,male
info,season,2023/24
info,date,2023/12/26
info,event,Philippines tour of Indonesia
info,match_number,6
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Philippines
info,toss_decision,field
info,player_of_match,Kulwinderjeet Singh
info,umpire,IGS Arsa
info,umpire,Hitesh Sharma
info,winner,Philippines
info,winner_wickets,7
info,player,Indonesia,GA Priandana
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,KD Kesuma
info,player,Indonesia,F Banunaek
info,player,Indonesia,IK Gamantika
info,player,Indonesia,GD Arta
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,AA Rahayu
info,player,Indonesia,RM Koda
info,player,Philippines,HER Tyler
info,player,Philippines,Kulwinderjeet Singh
info,player,Philippines,M Podosky
info,player,Philippines,DC Smith
info,player,Philippines,GR Russ
info,player,Philippines,JEA Doctora
info,player,Philippines,Huzaifa Mohammed
info,player,Philippines,ASF Sirah
info,player,Philippines,LJ Myott
info,player,Philippines,NJA Smith
info,player,Philippines,KDA Lukies
info,registry,people,AA Rahayu,2327fdc7
info,registry,people,ASF Sirah,06bcade5
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,DC Smith,a968d39b
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,GD Arta,e969e580
info,registry,people,GR Russ,1f28fdfd
info,registry,people,HER Tyler,0ba9de33
info,registry,people,Hitesh Sharma,2085a934
ball,1,7.3,Indonesia,F Banunaek,GD Arta,LJ Myott,1,0,,,,,,"",""
ball,1,7.4,Indonesia,GD Arta,F Banunaek,LJ Myott,0,0,,,,,,"",""
ball,1,7.5,Indonesia,GD Arta,F Banunaek,LJ Myott,0,0,,,,,,"",""
ball,1,7.6,Indonesia,GD Arta,F Banunaek,LJ Myott,1,0,,,,,,"",""
ball,1,8.1,Indonesia,GD Arta,F Banunaek,ASF Sirah,0,0,,,,,,"",""
ball,1,8.2,Indonesia,GD Arta,F Banunaek,ASF Sirah,0,0,,,,,,"",""
ball,1,8.3,Indonesia,GD Arta,F Banunaek,ASF Sirah,0,0,,,,,,"",""
ball,1,8.4,Indonesia,GD Arta,F Banunaek,ASF Sirah,0,0,,,,,,"",""
ball,1,8.5,Indonesia,GD Arta,F Banunaek,ASF Sirah,1,0,,,,,,"",""
ball,1,8.6,Indonesia,F Banunaek,GD Arta,ASF Sirah,1,0,,,,,,"",""
ball,1,9.1,Indonesia,F Banunaek,GD Arta,LJ Myott,0,0,,,,,,"",""
ball,1,9.2,Indonesia,F Banunaek,GD Arta,LJ Myott,0,0,,,,,,"",""
ball,1,9.3,Indonesia,F Banunaek,GD Arta,LJ Myott,1,0,,,,,,"",""
ball,1,9.4,Indonesia,GD Arta,F Banunaek,LJ Myott,0,0,,,,,,"",""
ball,1,9.5,Indonesia,GD Arta,F Banunaek,LJ Myott,0,0,,,,,,"",""
ball,1,9.6,Indonesia,GD Arta,F Banunaek,LJ Myott,1,0,,,,,,"",""
ball,1,10.1,Indonesia,GD Arta,F Banunaek,ASF Sirah,1,0,,,,,,"",""
ball,1,10.2,Indonesia,F Banunaek,GD Arta,ASF Sirah,1,0,,,,,,"",""
ball,1,10.3,Indonesia,GD Arta,F Banunaek,ASF Sirah,0,0,,,,,,"",""
ball,1,10.4,Indonesia,GD Arta,F Banunaek,ASF Sirah,1,0,,,,,,"",""
ball,1,10.5,Indonesia,F Banunaek,GD Arta,ASF Sirah,1,0,,,,,,"",""
ball,1,10.6,Indonesia,GD Arta,F Banunaek,ASF Sirah,0,0,,,,,,"",""
ball,1,11.1,Indonesia,F Banunaek,GD Arta,HER Tyler,1,0,,,,,,"",""
ball,1,11.2,Indonesia,GD Arta,F Banunaek,HER Tyler,0,0,,,,,,"",""
ball,1,11.3,Indonesia,GD Arta,F Banunaek,HER Tyler,6,0,,,,,,"",""
ball,1,11.4,Indonesia,GD Arta,F Banunaek,HER Tyler,0,0,,,,,,"",""
ball,1,11.5,Indonesia,GD Arta,F Banunaek,HER Tyler,0,0,,,,,,"",""
ball,1,11.6,Indonesia,GD Arta,F Banunaek,HER Tyler,1,0,,,,,,"",""
ball,1,12.1,Indonesia,GD Arta,F Banunaek,ASF Sirah,0,0,,,,,,"",""
ball,1,12.2,Indonesia,GD Arta,F Banunaek,ASF Sirah,0,0,,,,,,caught,GD Arta
ball,1,12.3,Indonesia,Ahmad Ramdoni,F Banunaek,ASF Sirah,1,0,,,,,,"",""
ball,1,12.4,Indonesia,F Banunaek,Ahmad Ramdoni,ASF Sirah,1,0,,,,,,"",""
ball,1,12.5,Indonesia,Ahmad Ramdoni,F Banunaek,ASF Sirah,0,1,1,,,,,"",""
ball,1,12.6,Indonesia,Ahmad Ramdoni,F Banunaek,ASF Sirah,1,0,,,,,,"",""
ball,1,12.7,Indonesia,F Banunaek,Ahmad Ramdoni,ASF Sirah,2,0,,,,,,"",""
ball,1,13.1,Indonesia,Ahmad Ramdoni,F Banunaek,KDA Lukies,1,0,,,,,,"",""
ball,1,13.2,Indonesia,F Banunaek,Ahmad Ramdoni,KDA Lukies,0,0,,,,,,"",""
ball,1,13.3,Indonesia,F Banunaek,Ahmad Ramdoni,KDA Lukies,0,0,,,,,,"",""
ball,1,13.4,Indonesia,F Banunaek,Ahmad Ramdoni,KDA Lukies,0,4,,,4,,,"",""
ball,1,13.5,Indonesia,F Banunaek,Ahmad Ramdoni,KDA Lukies,1,0,,,,,,"",""
ball,1,13.6,Indonesia,Ahmad Ramdoni,F Banunaek,KDA Lukies,1,0,,,,,,"",""
ball,1,14.1,Indonesia,Ahmad Ramdoni,F Banunaek,ASF Sirah,1,0,,,,,,"",""
ball,1,14.2,Indonesia,F Banunaek,Ahmad Ramdoni,ASF Sirah,0,0,,,,,,"",""
ball,1,14.3,Indonesia,F Banunaek,Ahmad Ramdoni,ASF Sirah,0,1,1,,,,,"",""
ball,1,14.4,Indonesia,F Banunaek,Ahmad Ramdoni,ASF Sirah,2,0,,,,,,"",""
ball,1,14.5,Indonesia,F Banunaek,Ahmad Ramdoni,ASF Sirah,1,0,,,,,,"",""
ball,1,14.6,Indonesia,Ahmad Ramdoni,F Banunaek,ASF Sirah,1,0,,,,,,"",""
ball,1,14.7,Indonesia,F Banunaek,Ahmad Ramdoni,ASF Sirah,0,0,,,,,,caught,F Banunaek
ball,1,15.1,Indonesia,Ahmad Ramdoni,IKEG Artawan,KDA Lukies,1,0,,,,,,"",""
ball,1,15.2,Indonesia,IKEG Artawan,Ahmad Ramdoni,KDA Lukies,1,0,,,,,,"",""
ball,1,15.3,Indonesia,Ahmad Ramdoni,IKEG Artawan,KDA Lukies,0,1,1,,,,,"",""
ball,1,15.4,Indonesia,Ahmad Ramdoni,IKEG Artawan,KDA Lukies,1,0,,,,,,"",""
ball,1,15.5,Indonesia,IKEG Artawan,Ahmad Ramdoni,KDA Lukies,0,0,,,,,,caught,IKEG Artawan
ball,1,15.6,Indonesia,DJ Hawoe,Ahmad Ramdoni,KDA Lukies,0,0,,,,,,"",""
ball,1,15.7,Indonesia,DJ Hawoe,Ahmad Ramdoni,KDA Lukies,0,0,,,,,,"",""
ball,1,16.1,Indonesia,Ahmad Ramdoni,DJ Hawoe,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,16.2,Indonesia,DJ Hawoe,Ahmad Ramdoni,Huzaifa Mohammed,0,0,,,,,,lbw,DJ Hawoe
ball,1,16.3,Indonesia,AA Rahayu,Ahmad Ramdoni,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,16.4,Indonesia,AA Rahayu,Ahmad Ramdoni,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,16.5,Indonesia,AA Rahayu,Ahmad Ramdoni,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,16.6,Indonesia,Ahmad Ramdoni,AA Rahayu,Huzaifa Mohammed,4,0,,,,,,"",""
ball,1,17.1,Indonesia,AA Rahayu,Ahmad Ramdoni,LJ Myott,0,0,,,,,,"",""
ball,1,17.2,Indonesia,AA Rahayu,Ahmad Ramdoni,LJ Myott,1,0,,,,,,"",""
ball,1,17.3,Indonesia,Ahmad Ramdoni,AA Rahayu,LJ Myott,1,0,,,,,,"",""
ball,1,17.4,Indonesia,AA Rahayu,Ahmad Ramdoni,LJ Myott,0,0,,,,,,"",""
ball,1,17.5,Indonesia,AA Rahayu,Ahmad Ramdoni,LJ Myott,0,0,,,,,,"",""
ball,1,17.6,Indonesia,AA Rahayu,Ahmad Ramdoni,LJ Myott,1,0,,,,,,"",""
ball,1,18.1,Indonesia,AA Rahayu,Ahmad Ramdoni,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,18.2,Indonesia,AA Rahayu,Ahmad Ramdoni,Huzaifa Mohammed,4,0,,,,,,"",""
ball,1,18.3,Indonesia,AA Rahayu,Ahmad Ramdoni,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,18.4,Indonesia,Ahmad Ramdoni,AA Rahayu,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,18.5,Indonesia,AA Rahayu,Ahmad Ramdoni,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,18.6,Indonesia,Ahmad Ramdoni,AA Rahayu,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,19.1,Indonesia,Ahmad Ramdoni,AA Rahayu,HER Tyler,1,0,,,,,,"",""
